
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
31-Aug-2013,22:36,,"Bus journey, route 29",1.40,,13.40,""
31-Aug-2013,16:31,16:49,"London Bridge [London Underground] to Piccadilly Circus",1.40,,14.80,""
31-Aug-2013,12:41,13:02,"Euston [London Underground] to London Bridge [London Underground]",1.40,,16.20,""
30-Aug-2013,17:46,18:11,"Brixton [London Underground] to Camden Town",2.80,,17.60,""
30-Aug-2013,17:45,,"Topped up, Brixton [London Underground]",,20.00,20.40,""
30-Aug-2013,09:03,09:22,"Euston [London Underground] to Brixton [London Underground]",2.80,,0.40,""
30-Aug-2013,08:39,08:48,"Entered and exited Camden Town",1.60,,3.20,""
29-Aug-2013,21:05,21:30,"Brixton [London Underground] to Camden Town",1.40,,4.80,""
29-Aug-2013,08:25,08:50,"Camden Town to Brixton [London Underground]",2.80,,6.20,""
28-Aug-2013,17:46,18:10,"Brixton [London Underground] to Camden Town",2.80,,9.00,""
28-Aug-2013,08:33,09:02,"Camden Town to Brixton [London Underground]",2.80,,11.80,""
27-Aug-2013,17:48,18:11,"Brixton [London Underground] to Camden Town",2.80,,14.60,""
27-Aug-2013,08:28,08:54,"Camden Town to Brixton [London Underground]",2.80,,17.40,""
27-Aug-2013,08:28,,"Topped up, Camden Town",,20.00,20.20,""
26-Aug-2013,21:56,22:06,"Euston [London Underground] to Camden Town",1.40,,0.20,""
23-Aug-2013,16:26,16:49,"Brixton [London Underground] to Kings Cross [London Underground / National Rail]",1.40,,1.60,""
23-Aug-2013,08:19,08:42,"Camden Town to Brixton [London Underground]",2.80,,3.00,""
22-Aug-2013,18:00,18:25,"Brixton [London Underground] to Camden Town",2.80,,5.80,""
22-Aug-2013,08:30,08:58,"Camden Town to Brixton [London Underground]",2.80,,8.60,""
21-Aug-2013,18:11,18:34,"Brixton [London Underground] to Camden Town",2.80,,11.40,""
21-Aug-2013,08:34,08:59,"Camden Town to Brixton [London Underground]",2.80,,14.20,""
20-Aug-2013,18:06,18:41,"Brixton [London Underground] to Camden Town",2.80,,17.00,""
20-Aug-2013,18:05,,"Topped up, Brixton [London Underground]",,20.00,19.80,""
20-Aug-2013,09:04,09:24,"Euston [London Underground] to Brixton [London Underground]",2.80,,-0.20,""
19-Aug-2013,21:50,22:11,"Chancery Lane to Camden Town",1.40,,2.60,""
19-Aug-2013,18:01,18:24,"Brixton [London Underground] to Chancery Lane",1.40,,4.00,""
19-Aug-2013,08:33,08:59,"Camden Town to Brixton [London Underground]",2.80,,5.40,""
18-Aug-2013,17:40,18:13,"Watford Junction to Euston [National Rail]",2.95,,8.20,""
16-Aug-2013,19:28,19:58,"Camden Town to Edgware",1.00,,11.15,""
16-Aug-2013,18:04,18:29,"Brixton [London Underground] to Camden Town",2.80,,12.15,""
16-Aug-2013,08:35,09:06,"Camden Town to Brixton [London Underground]",2.80,,14.95,""
15-Aug-2013,22:35,23:17,"Kensington Olympia to Camden Road",1.00,,17.75,""
15-Aug-2013,16:13,16:42,"Brixton [London Underground] to West Kensington",2.80,,18.75,""
15-Aug-2013,16:12,,"Topped up, Brixton [London Underground]",,20.00,21.55,""
15-Aug-2013,07:51,08:17,"Camden Town to Brixton [London Underground]",2.80,,1.55,""
14-Aug-2013,17:55,18:17,"Brixton [London Underground] to Camden Town",2.80,,4.35,""
14-Aug-2013,08:23,09:00,"Camden Town to Brixton [London Underground]",2.80,,7.15,""
13-Aug-2013,17:36,17:59,"Brixton [London Underground] to Camden Town",2.80,,9.95,""
13-Aug-2013,08:18,08:43,"Camden Town to Brixton [London Underground]",2.80,,12.75,""
12-Aug-2013,18:08,18:31,"Brixton [London Underground] to Camden Town",2.80,,15.55,""
12-Aug-2013,08:29,09:01,"Camden Town to Brixton [London Underground]",2.80,,18.35,""
11-Aug-2013,14:50,15:14,"Bethnal Green [London Underground] to Euston Square",1.40,,21.15,""
11-Aug-2013,11:15,11:43,"Camden Town to Bethnal Green [London Underground]",1.40,,22.55,""
11-Aug-2013,11:14,,"Topped up, Camden Town",,20.00,23.95,""
10-Aug-2013,19:18,19:39,"Leicester Square to Camden Town",1.40,,3.95,""
10-Aug-2013,13:03,13:22,"Camden Town to Oxford Circus",1.40,,5.35,""
09-Aug-2013,17:41,18:06,"Brixton [London Underground] to Camden Town",2.80,,6.75,""
09-Aug-2013,08:36,09:05,"Camden Town to Brixton [London Underground]",2.80,,9.55,""
08-Aug-2013,17:47,18:08,"Brixton [London Underground] to Camden Town",2.80,,12.35,""
08-Aug-2013,08:39,09:14,"Camden Town to Brixton [London Underground]",2.80,,15.15,""
07-Aug-2013,22:52,23:10,"Victoria [London Underground] to Camden Town",1.40,,17.95,""
07-Aug-2013,08:32,09:06,"Camden Town to Brixton [London Underground]",2.80,,19.35,""
07-Aug-2013,08:32,,"Topped up, Camden Town",,20.00,22.15,""
06-Aug-2013,18:01,18:25,"Brixton [London Underground] to Camden Town",2.80,,2.15,""
06-Aug-2013,08:36,09:35,"Camden Town to Brixton [London Underground]",2.80,,4.95,""
