
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
31-Jan-2014,01:13,01:25,Station A1 to Station A2,0.35,,23.84,The fare for this journey was capped as you reached the daily charging limit for the zones used
31-Jan-2014,23:27,23:54,Station A3 to Station A1,1.45,,24.19,
01-Feb-2014,01:01,01:25,Station A4 to Station A3,2.80,,25.64,
31-Jan-2014,13:38,14:08,Station A3 to Station A4,2.80,,28.44,
31-Jan-2014,00:40,01:06,Station A4 to Station A3,2.80,,31.24,
31-Jan-2014,01:45,02:17,Station A3 to Station A4,2.80,,34.04,
30-Jan-2014,22:14,,"Topped up, Station A3",,20.00,36.84,
30-Jan-2014,13:20,13:46,Station A4 to Station A3,2.80,,16.84,
29-Jan-2014,19:44,20:09,Station A3 to Station A4,2.80,,19.64,
29-Jan-2014,00:46,01:10,Station A4 to Station A3,2.80,,22.44,
28-Jan-2014,13:59,14:46,Station A3 to Station A4,2.80,,25.24,
28-Jan-2014,00:18,00:43,Station A4 to Station A3,2.80,,28.04,
27-Jan-2014,18:17,18:44,Station A3 to Station A4,2.80,,30.84,
26-Jan-2014,20:43,21:17,Station A5 to Station A3,1.45,,33.64,
27-Jan-2014,10:57,11:24,Station A3 to Station A5,1.45,,35.09,
27-Jan-2014,11:24,,"Topped up, Station A3",,20.00,36.54,
26-Jan-2014,10:40,11:00,Station A6 to Station A3,1.45,,16.54,
26-Jan-2014,01:56,02:15,Station A3 to Station A6,1.45,,17.99,
24-Jan-2014,19:39,,"Bus journey, route A7",0.35,,19.44,The fare for this journey was capped as you reached the daily charging limit for the zones used
25-Jan-2014,11:46,,"Bus journey, route A8",1.45,,19.79,
25-Jan-2014,09:45,10:08,Station A4 to Station A3,2.80,,21.24,
24-Jan-2014,20:43,21:10,Station A3 to Station A4,2.80,,24.04,
24-Jan-2014,16:30,17:01,Station A9 to Station A3,1.45,,26.84,
23-Jan-2014,20:37,21:00,Station A3 to Station A4,2.80,,28.29,
23-Jan-2014,04:09,04:33,Station A4 to Station A3,2.80,,31.09,
22-Jan-2014,17:09,17:34,Station A3 to Station A4,2.80,,33.89,
22-Jan-2014,10:03,,"Topped up, Station A3",,20.00,36.69,
22-Jan-2014,01:14,01:49,Station A1 to Station A3,1.45,,16.69,
22-Jan-2014,10:43,10:45,Entered and exited Station A4,.00,,18.14,
21-Jan-2014,23:15,23:44,Station A3 to Station A4,2.80,,18.14,
21-Jan-2014,08:04,08:18,Station B1 to Station A3,0.35,,20.94,The fare for this journey was capped as you reached the daily charging limit for the zones used
21-Jan-2014,19:30,19:44,Station A3 to Station B1,1.45,,21.29,
21-Jan-2014,08:52,09:18,Station A4 to Station A3,2.80,,22.74,
21-Jan-2014,01:27,02:05,Station A3 to Station A4,2.80,,25.54,
19-Jan-2014,15:19,15:35,Station A6 to Station A3,1.45,,28.34,
19-Jan-2014,18:22,18:39,Station A3 to Station A6,1.45,,29.79,
18-Jan-2014,16:09,16:39,Station A4 to Station A3,2.80,,31.24,
17-Jan-2014,17:30,18:01,Station A3 to Station A4,2.80,,34.04,
17-Jan-2014,10:03,,"Topped up, Station A3",,20.00,36.84,
17-Jan-2014,20:24,20:47,Station A4 to Station A3,1.40,,16.84,
16-Jan-2014,20:15,20:49,Station A3 to Station A4,2.80,,18.24,
16-Jan-2014,03:45,04:08,Station A4 to Station A3,1.40,,21.04,
16-Jan-2014,08:36,09:08,Station A3 to Station A4,2.80,,22.44,
15-Jan-2014,08:28,08:54,Station A4 to Station A3,2.80,,25.24,
15-Jan-2014,02:42,03:07,Station A3 to Station A4,2.80,,28.04,
14-Jan-2014,14:10,14:34,Station A4 to Station A3,2.80,,30.84,
14-Jan-2014,00:57,01:36,Station A3 to Station A4,2.80,,33.64,
12-Jan-2014,21:23,21:36,Station B2 to Station A3,1.00,,36.44,
13-Jan-2014,11:16,11:29,Station A3 to Station B2,1.00,,37.44,
13-Jan-2014,13:02,,"Topped up, Station A3",,20.00,38.44,
13-Jan-2014,00:27,00:47,Station B3 to Station A3,1.40,,18.44,
11-Jan-2014,02:33,02:47,Station B4 to Station A3,0.40,,19.84,The fare for this journey was capped as you reached the daily charging limit for the zones used
11-Jan-2014,13:58,14:12,Station A3 to Station B4,1.40,,20.24,
11-Jan-2014,02:01,02:25,Station A4 to Station A3,2.80,,21.64,
10-Jan-2014,23:53,00:17,Station A3 to Station A4,2.80,,24.44,
10-Jan-2014,08:34,08:55,Station A4 to Station A3,1.40,,27.24,
10-Jan-2014,03:21,03:50,Station A3 to Station A4,2.80,,28.64,
09-Jan-2014,12:08,12:30,Station A4 to Station A3,2.80,,31.44,
09-Jan-2014,05:19,05:51,Station A3 to Station A4,2.80,,34.24,
09-Jan-2014,03:58,,"Topped up, Station A3",,20.00,37.04,
08-Jan-2014,09:26,09:48,Station A4 to Station A3,1.40,,17.04,
08-Jan-2014,00:04,00:32,Station A3 to Station A4,2.80,,18.44,
07-Jan-2014,16:50,17:16,Station A4 to Station A3,2.80,,21.24,
07-Jan-2014,04:47,05:18,Station A3 to Station A4,2.80,,24.04,
05-Jan-2014,18:54,19:07,Station B5 to Station A3,1.40,,26.84,
